#results for MallocBenchmark01:
#information in columns:
#mem size: size of allocated memory
#freePercentage: ammount of deallocations after a 100 allocations
#maxLength: maximum length of random sized string
#time : count of processor cycles requred for benchmark run
#freeCount: count of free blocks at the end of benchmark
#freeCount<160 : count of free blocks at the end of benchmark smaller that 160B
#freeSize: size of memory in free blocks
#overhead: internal fragmentation + header and footer sizes
#
#default strategy
#mem size(mb)	maxLenght	freePercentage	time (cycles)	freecount	freeCount<160	freeSize	overhead
1				2048		75				38053515		543			351				435764		77142
1				2048		75				37876208		526			328				437296		76319
2				2048		75				66804399		1199		897				344676		161158
2				2048		75				63723589		1216		901				347304		158104
4				2048		75				157996612		2194		1690			730696		310606
4				2048		75				161456695		2218		1750			713312		314230
6				2048		75				311778658		3171		2504			546128		477438
6				2048		75				306567266		3227		2547			556868		473880
8				2048		75				501806493		4131		3310			932260		630306
8				2048		75				510708183		4117		3331			920524		634004

#firstFit
#mem size(mb)	maxLenght	freePercentage	time (cycles)	freecount	freeCount<160	freeSize	overhead
1				2048		75				37643797		410			269				432288		75819
1				2048		75				38167917		397			247				451232		72101
2				2048		75				59818874		824			548				343256		152094
2				2048		75				60179663		848			583				370864		149494
4				2048		75				127526235		1532		1066			713164		299749
4				2048		75				131933321		1568		1104			738100		300307
6				2048		75				231812813		2278		1589			600512		447352
6				2048		75				227424436		2228		1560			598292		445683
8				2048		75				377657991		3054		2133			436520		600687
8				2048		75				363230153		2933		2008			449472		596758

#nextFit
#mem size(mb)	maxLenght	freePercentage	time (cycles)	freecount	freeCount<160	freeSize	overhead
1				2048		75				39780631		397			256				427184		73896
1				2048		75				37468762		412			257				434572		75617
2				2048		75				61231908		817			544				355888		150491
2				2048		75				62710471		810			524				357596		150392
4				2048		75				140492901		1602		1022			731088		301194
4				2048		75				140626442		1632		1080			715608		303958
6				2048		75				244518204		2282		1541			594684		448260
6				2048		75				247571416		2330		1553			581880		449555
8				2048		75				395496696		3006		1973			955704		601285
8				2048		75				393335031		3057		2025			442516		601529

#bestFit
#mem size(mb)	maxLenght	freePercentage	time (cycles)	freecount	freeCount<160	freeSize	overhead
1				2048		75				39550733		266			200				455532		68502
1				2048		75				40050944		288			212				432968		72739
2				2048		75				69346035		499			415				347916		149782
2				2048		75				73311312		506			415				353088		150411
4				2048		75				170017103		890			764				215164		293455
4				2048		75				165025436		896			750				216748		290477
6				2048		75				302356767		1246		1104			613456		432033
6				2048		75				316245300		1233		1082			594576		442266
8				2048		75				517732777		1602		1419			437108		585110
8				2048		75				481880345		1571		1382			466112		571584

#worstFit
#mem size(mb)	maxLenght	freePercentage	time (cycles)	freecount	freeCount<160	freeSize	overhead
1				2048		75				37243812		368			81				446864		70423
1				2048		75				35113104		337			76				432128		69688
2				2048		75				60770701		1128		237				1415620		148702
2				2048		75				59834915		1161		238				1386468		155727
4				2048		75				156869903		2433		547				2312392		307790
4				2048		75				154709799		2421		546				2312288		307672
6				2048		75				295741956		3592		762				3707440		461993
6				2048		75				292061650		3551		791				3723664		458014
8				2048		75				470652169		4660		1008			4625740		609076
8				2048		75				468547308		4644		1020			4625656		613491


