#results for MallocBenchmark02:
#information in columns:
#mem size: size of allocated memory
#threadCount: count of threads in test
#freePercentage: ammount of deallocations after a 100 allocations
#maxLength: maximum length of random sized string
#time : count of processor cycles requred for benchmark run
#freeCount: count of free blocks at the end of benchmark
#freeCount<160 : count of free blocks at the end of benchmark smaller that 160B
#chunkCount: count of memory chunks
#freeSize: size of memory in free blocks
#overhead: internal fragmentation + header and footer sizes
#

#############, resize enabled, 14.2.2009 build (rev 729) using YieldingSpinLock in test###################
###table size 1999 ####
#############default####################

#1mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
1				2048		75				10			31672629		733			426				1			248288		82848
1				2048		75				10			33020484		721			413				1			761500		82037

1				2048		75				20			29339865		804			389				1			378432		84274
1				2048		75				20			28336597		752			336				1			963288		82614
1				2048		75				20			25074246		742			292				1			439180		80881

1				2048		75				40			39644739		1195		448				1			1209768		106119
1				2048		75				40			37711005		1254		445				1			1282212		106324

1				2048		75				60			89086626		1796		596				1			2064520		156143
1				2048		75				60			81787225		1797		605				1			2174188		153864

1				2048		75				80			168072917		2406		802				1			3206436		201075
1				2048		75				80			179214626		2359		854				1			2607412		200052

#2mb
#mem size(mb)	maxLenght	freePercentage	threadCount	time (cycles)	freecount	freeCount<160	chunkcount 	freeSize	overhead 
2				2048		75				10			64547181		1442		1009			1			341188		165351
2				2048		75				10			63748807		1396		939				1			339972		162486

2				2048		75				20			61825661		1525		970 			1			948324		164052
2				2048		75				20			63460820		1516		900 			1			865032		166400

2				2048		75				40			62900362		1556		840				1			1159812		168462
2				2048		75				40			59581760		1563		866				1			704248		167503

2				2048		75				60			90933888		1774		611				1			1916172		169010
2				2048		75				60			86661233		1737		513				1			1906872		167854

2				2048		75				80			171052604		2380		807				1			3234804		200975
2				2048		75				80			208546245		2504		880				1			2857412		211546
2				2048		75				80			197860288		2503		818				1			3097288		208986

#4mb
